CustomerID,Age,BankAge,Salary,E_IND,OVOL8,ONO3,ONO6,ONO9,Churn
fff40988,45,23,40864,4,3,16,7,7,0
ffeb54b2,18,0,22586,3,2,2,5,4,0
ffe93a40,60,10,69195,2,4,3,7,0,1
ffe72cb5,37,5,42653,2,0,6,4,1,0
ffe54995,65,16,58945,1,2,13,7,2,0
ffe19151,51,28,70764,3,6,8,12,8,0
ffdedcb1,40,5,65836,4,3,6,4,2,0
ffdeb062,51,0,82614,5,0,1,3,5,0
ffd5f470,52,6,83816,4,0,2,11,5,0
ffd4f929,27,4,33012,3,1,3,7,3,0
ffcd980f,38,10,63160,3,3,6,7,3,0
ffc74ac2,63,7,59347,2,4,7,3,6,1
ffc4b117,31,5,28645,2,0,1,6,4,0
ffc385fb,32,12,60318,1,1,3,9,1,0
ffbe0578,30,9,33634,2,1,4,3,5,0
ffb8fdb2,48,22,52311,4,3,3,10,1,0
ffb53ec0,23,5,22025,3,4,2,9,3,0
ffb3487a,31,2,57913,5,0,3,5,2,0
ffa60f52,37,17,29007,2,2,7,8,2,0
ff9e4943,63,30,77779,2,4,6,13,3,0
ff9a867f,42,20,74814,3,2,5,5,4,0
ff98ad93,34,2,26685,3,2,2,8,1,0
ff95b6eb,33,12,50464,5,3,2,7,4,0
ff8c2777,50,14,71869,3,1,5,8,2,0
ff899386,55,30,83622,5,1,12,19,7,0
ff885e1d,41,17,48258,1,2,6,5,2,0
ff859609,50,8,76948,3,0,2,4,5,0
ff83480a,30,1,57633,1,1,2,2,0,0
ff7a27b3,28,8,31216,1,1,1,5,3,0
ff77afb8,24,0,29335,5,0,5,8,0,1
ff77ad8c,45,19,59344,5,2,7,17,6,0
ff751c15,45,17,69812,1,2,4,15,8,0
ff734e57,53,9,73077,2,2,7,2,7,0
ff6e8fb4,41,3,43520,2,2,4,6,2,0
ff6e3c06,38,1,32948,3,0,3,4,4,0
ff6df1bb,40,3,78594,3,1,1,4,7,0
ff6b4c39,20,1,26047,1,1,3,3,2,0
ff54130d,35,1,32877,2,1,3,1,2,0
ff53e33b,40,16,56665,3,1,5,8,1,0
ff4a5021,41,6,55051,2,3,0,5,3,0
ff4a34ad,42,14,77405,1,2,5,8,2,1
ff4a17ea,53,22,72064,4,3,8,12,7,0
ff470d40,56,4,65709,4,2,5,9,4,0
ff4337fd,35,7,41715,5,1,5,8,3,0
ff4107f8,43,16,59008,5,3,5,8,7,0
ff40c523,35,4,66455,3,0,6,8,2,0
ff3fb1cd,58,9,75833,5,2,7,7,6,0
ff3c1e62,60,24,82617,1,4,8,12,2,0
ff396430,44,10,59103,5,0,7,7,4,0
ff1fd502,51,5,91164,4,4,5,5,3,0
ff13c946,45,21,70029,2,2,4,11,2,0
ff10b5c2,49,28,67768,4,1,6,7,5,0
ff0c5b98,49,30,78917,3,6,6,12,2,0
ff0c5521,37,1,37982,2,2,0,2,1,0
ff0bd271,64,3,69636,4,0,3,1,3,0
ff071b83,34,4,43389,1,3,1,2,1,0
feffc57b,38,6,48855,3,2,1,1,3,0
feff74db,54,2,65368,1,1,2,2,1,0
